2017-08-04 21:53:45  {"productCode":"QUICK_WAP_PAY","body":"购买测试商品0.01元","subject":"测试","out_trade_no":"201784215340776","total_amount":"0.01","timeout_express":"1m"}
2017-08-04 22:38:29  {"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501857509924669","total_amount":"100","timeout_express":"1m"}
2017-08-04 22:41:12  {"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501857672559027","total_amount":"100","timeout_express":"1m"}
2017-08-04 22:43:06  {"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501857786555121","total_amount":"100","timeout_express":"1m"}
2017-08-04 22:45:40  {"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501857940345106","total_amount":"100","timeout_express":"1m"}
2017-08-04 22:47:34  {"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858054934841","total_amount":"100","timeout_express":"1m"}
2017-08-04 22:48:38  {"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858118179795","total_amount":"100","timeout_express":"1m"}
2017-08-04 22:50:05  {"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858204533826","total_amount":"100","timeout_express":"1m"}
2017-08-04 22:50:06  response: '<form id=\'alipaysubmit\' name=\'alipaysubmit\' action=\'https://openapi.alipay.com/gateway.do?charset=UTF-8\' method=\'POST\'><input type=\'hidden\' name=\'biz_content\' value=\'{"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858204533826","total_amount":"100","timeout_express":"1m"}\'/><input type=\'hidden\' name=\'app_id\' value=\'2017022705923867\'/><input type=\'hidden\' name=\'version\' value=\'1.0\'/><input type=\'hidden\' name=\'format\' value=\'json\'/><input type=\'hidden\' name=\'sign_type\' value=\'RSA2\'/><input type=\'hidden\' name=\'method\' value=\'alipay.trade.wap.pay\'/><input type=\'hidden\' name=\'timestamp\' value=\'2017-08-04 22:50:05\'/><input type=\'hidden\' name=\'alipay_sdk\' value=\'alipay-sdk-php-20161101\'/><input type=\'hidden\' name=\'notify_url\' value=\'http://baidu.com/alipay.trade.wap.pay-PHP-UTF-8/notify_url.php\'/><input type=\'hidden\' name=\'return_url\' value=\'http://mitsein.com/alipay.trade.wap.pay-PHP-UTF-8/return_url.php\'/><input type=\'hidden\' name=\'charset\' value=\'UTF-8\'/><input type=\'hidden\' name=\'sign\' value=\'yBZ2k00cfmCct58cttSMsOHAaDNRhDLVgo8Z92otrAlW74lL+FwH8JTj1BZWNwV6Lr3Hcqj2wWM4gUrfPo+QbMkOhC1TfjgejfGZ+2Sl+VcbZm+zo37o5jILnqpoQ1W7Ik7vbU47MOo3EVC76Zn9XzGAGttXNUqwft6d6mnRhLFZ7UdFfu61K+EX90rONPZk1zDZQAotNLIpIYf+BTR/bNazTBGbHhAU0uiN/s0LfyfGsMiq/u86dYOCokm5/pmmKvzkfJRi/n1cGUvviE1tS2mTGmhOYr0w2rYWNrQ8uZnQOGFspe0X9ZsUyYh1ekQC98v8EFoCXSaFYrJ2Ahbf2g==\'/><input type=\'submit\' value=\'ok\' style=\'display:none;\'\'></form><script>document.forms[\'alipaysubmit\'].submit();</script>'
2017-08-04 22:50:27  {"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858226477294","total_amount":"100","timeout_express":"1m"}
2017-08-04 22:50:27  response: '<form id=\'alipaysubmit\' name=\'alipaysubmit\' action=\'https://openapi.alipay.com/gateway.do?charset=UTF-8\' method=\'POST\'><input type=\'hidden\' name=\'biz_content\' value=\'{"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858226477294","total_amount":"100","timeout_express":"1m"}\'/><input type=\'hidden\' name=\'app_id\' value=\'2017022705923867\'/><input type=\'hidden\' name=\'version\' value=\'1.0\'/><input type=\'hidden\' name=\'format\' value=\'json\'/><input type=\'hidden\' name=\'sign_type\' value=\'RSA2\'/><input type=\'hidden\' name=\'method\' value=\'alipay.trade.wap.pay\'/><input type=\'hidden\' name=\'timestamp\' value=\'2017-08-04 22:50:27\'/><input type=\'hidden\' name=\'alipay_sdk\' value=\'alipay-sdk-php-20161101\'/><input type=\'hidden\' name=\'notify_url\' value=\'http://baidu.com/alipay.trade.wap.pay-PHP-UTF-8/notify_url.php\'/><input type=\'hidden\' name=\'return_url\' value=\'http://mitsein.com/alipay.trade.wap.pay-PHP-UTF-8/return_url.php\'/><input type=\'hidden\' name=\'charset\' value=\'UTF-8\'/><input type=\'hidden\' name=\'sign\' value=\'gvEY9kRE8sPHo0fM5IlA1X4D7Gt1QGhd5mqkbopBiqNTSCr/ZXLKYmfqSVH4LJiDAXe8wvmSEhQsBlE2S/Uy5ifr2nO5PJqKAewYyNiLFnKVj5mXM2cTr+mam7/PLdt5N8wqG3pZzmvdu2xKFGB/S6b4ZNnrBCqbuBki69vIZeamSpP3ptoeOvFCZygxKyMs5R1pGirJVDjB/g8qMW2DrL6WeKeTZo/KpvSaWIRMGa6MIsB2YKsBNc/Br+zfmAf2/13fSpnrkZF1UDHve9DunG9Igomr0CLuDhagwfwEfaSlG0xmY8vdqCuKuDJ3GFC44plKm4y5pd3ZO9DNIyEs5w==\'/><input type=\'submit\' value=\'ok\' style=\'display:none;\'\'></form><script>document.forms[\'alipaysubmit\'].submit();</script>'
2017-08-04 22:56:24  {"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858584275282","total_amount":"100","timeout_express":"1m"}
2017-08-04 22:56:25  response: '<form id=\'alipaysubmit\' name=\'alipaysubmit\' action=\'https://openapi.alipay.com/gateway.do?charset=UTF-8\' method=\'POST\'><input type=\'hidden\' name=\'biz_content\' value=\'{"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858584275282","total_amount":"100","timeout_express":"1m"}\'/><input type=\'hidden\' name=\'app_id\' value=\'2017022705923867\'/><input type=\'hidden\' name=\'version\' value=\'1.0\'/><input type=\'hidden\' name=\'format\' value=\'json\'/><input type=\'hidden\' name=\'sign_type\' value=\'RSA2\'/><input type=\'hidden\' name=\'method\' value=\'alipay.trade.wap.pay\'/><input type=\'hidden\' name=\'timestamp\' value=\'2017-08-04 22:56:24\'/><input type=\'hidden\' name=\'alipay_sdk\' value=\'alipay-sdk-php-20161101\'/><input type=\'hidden\' name=\'notify_url\' value=\'http://baidu.com/alipay.trade.wap.pay-PHP-UTF-8/notify_url.php\'/><input type=\'hidden\' name=\'return_url\' value=\'http://mitsein.com/alipay.trade.wap.pay-PHP-UTF-8/return_url.php\'/><input type=\'hidden\' name=\'charset\' value=\'UTF-8\'/><input type=\'hidden\' name=\'sign\' value=\'ZGuOKX/QtmkdRJJCzaiQaOIEbaZfvHST3/EpUAi0jjJnbyF7A64+SFRLTJNeo2rtWaSToM6pP1KDcdRFPTciEGm4wewRyb41ZD45djZwOIkljAAP6ezYVORHl0LEF8kVQso90maKnMCas4dlQx4gXJDOwGBfYIZoXzSYNm0f9eY/BkStuYBm00Jv/44xuWBJ5mhZrwDAABL5gQqeTi4hTlwpB5ldFiCPzIB0AwpXzBApxKu1OFaxK4kWZ524JDdZUKm4xHTw1kMZO35zyNaewAkMpBhrdQm+KvBCTJ4B7ub+8S9q0mShW+p0rANGXI8cEymyHSyICvOGACUYCGCGZw==\'/><input type=\'submit\' value=\'ok\' style=\'display:none;\'\'></form><script>document.forms[\'alipaysubmit\'].submit();</script>'
2017-08-04 22:56:41  {"productCode":"QUICK_WAP_PAY","body":"","subject":"用户充值","out_trade_no":"10111501858601337917","total_amount":"100","timeout_express":"1m"}
